# best_L1 average_L1
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
69.4815 69.4815
