   BINSIZE: 0.146667
# VELOCITY:     AVE_POFV:        ERROR:
           3       0.842       0.946   0.0808675
           3       0.285    0.601333    0.129889
           3       0.217        0.37   0.0675393
           3       0.082    0.178333   0.0394865
           3       0.034       0.134   0.0491347
           3           0       0.063   0.0274752
           3           0       0.011  0.00898146
           3           0           0           0
           3           0           0           0
           3           0           0           0
           3           0           0           0
           3           0           0           0
           3           0           0           0
           3           0           0           0
           4       0.177     0.23975    0.033353
           4       1.243      1.3945    0.111073
           4       3.343     3.46925    0.203234
           4       6.016       6.304    0.216381
           4        8.57     9.09425    0.222553
           4       10.82     10.9878    0.256928
           4      12.126      11.987    0.137671
           4      11.186     11.9738    0.432389
           4      11.166     11.6185    0.434656
           4      10.269     10.1815   0.0698467
           4       9.095      8.3725    0.232725
           4       8.321       7.385    0.324667
           4       5.999     5.39625    0.266985
           4       4.215       3.587    0.214133
           4       2.677       2.465    0.129582
           4       1.132       1.405    0.126915
           4       0.765     0.90075   0.0722092
           4       0.355     0.53975     0.11106
           4       0.254       0.341   0.0565387
           4        0.21     0.18625   0.0303981
           4       0.061     0.11575   0.0400973
           4           0     0.04725   0.0247118
           4           0     0.00825  0.00714471
           4           0           0           0
           4           0           0           0
           4           0           0           0
           4           0           0           0
           4           0           0           0
           4           0           0           0
           4           0           0           0
           5       0.121       0.216   0.0341057
           5       1.473      1.4102   0.0899615
           5       3.681      3.5116    0.166941
           5        5.43      6.1292    0.233258
           5        7.32      8.7394    0.363915
           5      10.316     10.8534    0.238092
           5      12.234     12.0364    0.118669
           5      12.184     12.0158     0.34795
           5      11.941      11.683    0.352478
           5      11.192     10.3836    0.189203
           5       8.683      8.4346    0.194289
           5       7.576      7.4232    0.261972
           5       5.563      5.4296    0.215661
           5       3.979      3.6654    0.185103
           5       2.486      2.4692    0.103734
           5       1.662      1.4564    0.111455
           5       1.028      0.9262   0.0620905
           5        0.49      0.5298    0.089293
           5       0.293      0.3314   0.0460388
           5       0.192      0.1874   0.0243403
           5       0.074      0.1074   0.0329358
           5       0.082      0.0542   0.0207237
           5           0      0.0066  0.00590322
           5           0           0           0
           5           0           0           0
           5           0           0           0
           5           0           0           0
           5           0           0           0
           5           0           0           0
           5           0           0           0
           6       0.076    0.192667   0.0355173
           6       1.234     1.38083   0.0796169
           6       3.616       3.529    0.140022
           6       6.582     6.20467    0.206229
           6       9.447     8.85733    0.321805
           6      11.227     10.9157    0.206391
           6      12.995     12.1962    0.176212
           6      12.353      12.072    0.294462
           6       10.88     11.5492    0.318127
           6       9.453     10.2285    0.211911
           6       8.131       8.384    0.168367
           6       6.991     7.35117    0.227998
           6       5.061     5.36817    0.188264
           6       3.834      3.6935    0.156371
           6       2.719     2.51083   0.0944306
           6         1.4       1.447    0.093275
           6       0.894    0.920833   0.0519735
           6       0.503    0.525333   0.0745224
           6       0.205    0.310333   0.0429157
           6       0.238    0.195833   0.0216954
           6       0.134    0.111833   0.0277433
           6       0.027   0.0496667   0.0177587
           6           0      0.0055  0.00502079
           6           0           0           0
           6           0           0           0
           6           0           0           0
           6           0           0           0
           6           0           0           0
           6           0           0           0
           6           0           0           0
           7       0.125       0.183   0.0317317
           7        1.06       1.335   0.0803599
           7       3.201     3.48214    0.127618
           7       6.183     6.20157    0.176791
           7       8.235     8.76843    0.287851
           7       9.934     10.7754    0.219438
           7      12.401     12.2254    0.153449
           7      13.065     12.2139    0.284522
           7       12.65     11.7064    0.309116
           7      10.617      10.284    0.188766
           7       9.439     8.53471     0.20074
           7       7.197     7.32914    0.196488
           7       4.714     5.27471      0.1831
           7       3.514     3.66786    0.136118
           7       2.347     2.48743   0.0837908
           7         1.6     1.46886   0.0824711
           7       0.834    0.908429   0.0460053
           7        0.47    0.517429   0.0642942
           7       0.277    0.305571   0.0370482
           7       0.062    0.176714   0.0256736
           7       0.075    0.106571   0.0242738
           7           0   0.0425714   0.0165786
           7           0  0.00471429  0.00436458
           7           0           0           0
           7           0           0           0
           7           0           0           0
           7           0           0           0
           7           0           0           0
           7           0           0           0
           7           0           0           0
           8       0.141     0.17775   0.0281962
           8        1.51     1.35688   0.0732317
           8       3.465        3.48    0.111684
           8       6.173       6.198    0.154728
