#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         269     1.99552     2.03856  0.00986863
         270     1.98554     2.03836  0.00983403
         271     1.99697     2.03821  0.00979893
         272     2.01141     2.03811   0.0097634
         273     1.99187     2.03794   0.0097291
         274     2.00283     2.03782  0.00969444
         275     2.00709      2.0377  0.00965983
         276     1.99963     2.03757  0.00962582
         277     1.96058     2.03729  0.00959508
         278     1.96032     2.03701  0.00956456
         279      1.9826     2.03682  0.00953226
         280     1.97433     2.03659  0.00950083
         281     1.94818     2.03628  0.00947223
         282     1.93363     2.03591  0.00944563
         283     1.93507     2.03556  0.00941897
         284     1.90786     2.03511  0.00939653
         285     1.92074     2.03471  0.00937213
         286     1.95463     2.03443  0.00934354
         287     1.98782     2.03427  0.00931239
         288      2.0366     2.03427  0.00928006
         289     2.09691     2.03449  0.00925048
         290     2.06957     2.03461  0.00921937
         291     2.01417     2.03454  0.00918796
         292           2     2.03442  0.00915726
         293     2.01079     2.03434  0.00912636
         294     2.00814     2.03425  0.00909575
         295     2.02012      2.0342  0.00906504
         296     2.00546     2.03411  0.00903494
         297     1.97736     2.03392  0.00900654
         298     1.94053      2.0336  0.00898177
         299     1.93036     2.03326  0.00895836
         300     1.93901     2.03294  0.00893401
         301     1.94336     2.03265  0.00890928
         302     1.94408     2.03235  0.00888461
         303     1.92632       2.032  0.00886217
         304     1.94703     2.03172  0.00883743
         305     1.97693     2.03154  0.00881028
         306     1.98919     2.03141  0.00878257
         307     1.98379     2.03125  0.00875533
         308      1.9794     2.03108  0.00872853
         309     1.97717     2.03091  0.00870202
         310     1.97602     2.03073  0.00867575
         311     1.98843     2.03059  0.00864892
         312     1.96952      2.0304  0.00862342
         313     1.96764      2.0302   0.0085982
         314     1.97537     2.03002  0.00857259
         315     2.01616     2.02998  0.00854548
         316     2.02307     2.02996  0.00851847
         317      2.0027     2.02987  0.00849203
         318     1.95681     2.02964  0.00846843
         319     1.93679     2.02935  0.00844689
         320     1.92869     2.02904  0.00842635
         321     1.90759     2.02866  0.00840859
         322     1.93124     2.02836  0.00838791
         323     1.94803     2.02811  0.00836563
         324     1.96594     2.02791  0.00834201
         325     1.97531     2.02775  0.00831791
         326     1.96175     2.02755  0.00829486
         327     1.95657     2.02733  0.00827233
         328      1.9568     2.02712  0.00824991
         329     1.94581     2.02687  0.00822853
         330     1.93345     2.02659  0.00820847
         331     1.96006     2.02639  0.00818613
         332      1.9888     2.02627  0.00816225
         333     1.97514     2.02612  0.00813919
         334     1.96835     2.02595  0.00811666
         335     1.95484     2.02574   0.0080952
         336     1.93728     2.02547  0.00807539
         337     1.91243     2.02514  0.00805839
         338     1.89536     2.02475  0.00804369
         339     1.89821     2.02438  0.00802862
         340     1.91989     2.02407  0.00801088
         341     1.92788     2.02379  0.00799236
         342     1.94295     2.02355  0.00797248
         343     1.94912     2.02334  0.00795219
         344     1.95106     2.02313  0.00793185
         345     1.91593     2.02282  0.00791494
         346     1.93153     2.02255  0.00789646
         347     1.95544     2.02236  0.00787608
         348     1.98259     2.02224  0.00785427
         349     1.99784     2.02217  0.00783208
         350     1.98937     2.02208  0.00781026
         351     2.01683     2.02207  0.00778802
         352     2.01282     2.02204  0.00776594
         353     2.03199     2.02207    0.007744
         354     2.03272      2.0221  0.00772218
         355     2.02519     2.02211  0.00770043
         356     2.03053     2.02213  0.00767884
         357     2.02332     2.02213  0.00765733
         358     2.01552     2.02211  0.00763596
         359     1.97668     2.02199  0.00761574
         360     1.97781     2.02187  0.00759557
         361     1.98383     2.02176  0.00757526
         362     1.99108     2.02168  0.00755481
         363     1.97325     2.02154  0.00753518
         364     1.94959     2.02134  0.00751707
         365      1.9389     2.02112  0.00749987
         366     1.96074     2.02095  0.00748119
         367     1.98037     2.02084  0.00746162
         368     1.98857     2.02076  0.00744186
         369     1.97729     2.02064  0.00742263
         370     1.95445     2.02046  0.00740472
         371     1.96562     2.02031  0.00738624
         372     1.96253     2.02016  0.00736801
         373     1.96777     2.02001   0.0073496
         374     1.98878     2.01993  0.00733042
         375     1.97482     2.01981  0.00731186
         376     1.97958      2.0197   0.0072932
         377     1.99666     2.01964  0.00727411
         378     2.00013     2.01959  0.00725505
         379     2.03345     2.01963    0.007236
         380     2.00453     2.01959  0.00721706
         381     1.99071     2.01951  0.00719852
         382     1.96491     2.01937  0.00718109
         383     1.96636     2.01923  0.00716368
         384     1.95439     2.01906  0.00714701
         385     1.93621     2.01885  0.00713169
         386     1.92941     2.01862  0.00711697
         387     1.93853     2.01841  0.00710159
         388     1.93238     2.01819  0.00708675
         389     1.94277     2.01799  0.00707118
         390     1.97077     2.01787  0.00705409
         391     1.96039     2.01772  0.00703758
         392     1.96302     2.01759  0.00702101
         393     1.95473     2.01743  0.00700497
         394     1.98901     2.01735  0.00698756
         395      2.0083     2.01733  0.00696991
         396      2.0032     2.01729   0.0069524
         397     1.98371     2.01721   0.0069354
         398     1.95487     2.01705  0.00691974
         399     1.94166     2.01686  0.00690498
         400     1.95908     2.01672  0.00688923
         401     1.96144     2.01658  0.00687343
         402     1.96455     2.01645  0.00685755
         403     1.94855     2.01628   0.0068426
         404     1.93017     2.01607  0.00682898
         405     1.90121     2.01579  0.00681801
         406     1.89837      2.0155  0.00680734
         407     1.92315     2.01527   0.0067944
         408     1.93942     2.01509  0.00678029
         409     1.92126     2.01486  0.00676759
         410     1.91053      2.0146  0.00675587
         411     1.92777     2.01439  0.00674273
         412     1.90585     2.01413  0.00673151
         413     1.91664     2.01389  0.00671935
