#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         275     1.33806     1.35847  0.00643989
         276     1.33309     1.35838  0.00641721
         277     1.30706     1.35819  0.00639672
         278     1.30688     1.35801  0.00637637
         279     1.32173     1.35788  0.00635484
         280     1.31622     1.35773  0.00633389
         281     1.29879     1.35752  0.00631482
         282     1.28909     1.35728  0.00629709
         283     1.29005     1.35704  0.00627932
         284     1.27191     1.35674  0.00626436
         285      1.2805     1.35647  0.00624808
         286     1.30309     1.35629  0.00622903
         287     1.32521     1.35618  0.00620826
         288     1.35773     1.35618  0.00618671
         289     1.39794     1.35633  0.00616699
         290     1.37971     1.35641  0.00614625
         291     1.34278     1.35636  0.00612531
         292     1.33333     1.35628  0.00610484
         293     1.34053     1.35623  0.00608424
         294     1.33876     1.35617  0.00606383
         295     1.34675     1.35614  0.00604336
         296     1.33697     1.35607  0.00602329
         297     1.31824     1.35594  0.00600436
         298     1.29369     1.35574  0.00598784
         299     1.28691     1.35551  0.00597224
         300     1.29268      1.3553    0.005956
         301     1.29557      1.3551  0.00593952
         302     1.29605      1.3549  0.00592307
         303     1.28421     1.35467  0.00590811
         304     1.29802     1.35448  0.00589162
         305     1.31796     1.35436  0.00587352
         306     1.32613     1.35427  0.00585505
         307     1.32252     1.35417  0.00583689
         308      1.3196     1.35405  0.00581902
         309     1.31811     1.35394  0.00580135
         310     1.31735     1.35382  0.00578384
         311     1.32562     1.35373  0.00576595
         312     1.31302      1.3536  0.00574894
         313     1.31176     1.35347  0.00573213
         314     1.31691     1.35335  0.00571506
         315     1.34411     1.35332  0.00569699
         316     1.34871     1.35331  0.00567898
         317     1.33513     1.35325  0.00566135
         318     1.30454     1.35309  0.00564562
         319     1.29119      1.3529  0.00563126
         320     1.28579     1.35269  0.00561756
         321     1.27173     1.35244  0.00560572
         322      1.2875     1.35224  0.00559194
         323     1.29868     1.35207  0.00557709
         324     1.31063     1.35194  0.00556134
         325     1.31687     1.35184  0.00554528
         326     1.30783      1.3517  0.00552991
         327     1.30438     1.35156  0.00551489
         328     1.30453     1.35141  0.00549994
         329     1.29721     1.35125  0.00548569
         330     1.28897     1.35106  0.00547231
         331     1.30671     1.35092  0.00545742
         332     1.32587     1.35085   0.0054415
         333     1.31676     1.35075  0.00542612
         334     1.31223     1.35063   0.0054111
         335     1.30322     1.35049   0.0053968
         336     1.29152     1.35031  0.00538359
         337     1.27496     1.35009  0.00537226
         338     1.26358     1.34984  0.00536246
         339     1.26548     1.34959  0.00535241
         340     1.27993     1.34938  0.00534059
         341     1.28525     1.34919  0.00532824
         342      1.2953     1.34904  0.00531499
         343     1.29941     1.34889  0.00530146
         344     1.30071     1.34875   0.0052879
         345     1.27728     1.34854  0.00527663
         346     1.28769     1.34837  0.00526431
         347     1.30363     1.34824  0.00525072
         348     1.32172     1.34816  0.00523618
         349     1.33189     1.34812  0.00522139
         350     1.32625     1.34805  0.00520684
         351     1.34455     1.34804  0.00519202
         352     1.34188     1.34803   0.0051773
         353     1.35466     1.34804  0.00516266
         354     1.35514     1.34806  0.00514812
         355     1.35013     1.34807  0.00513362
         356     1.35369     1.34809  0.00511922
         357     1.34888     1.34809  0.00510489
         358     1.34368     1.34808  0.00509064
         359     1.31779     1.34799  0.00507716
         360     1.31854     1.34791  0.00506372
         361     1.32255     1.34784  0.00505018
         362     1.32738     1.34778  0.00503654
         363      1.3155     1.34769  0.00502345
         364     1.29973     1.34756  0.00501138
         365      1.2926     1.34741  0.00499991
         366     1.30716      1.3473  0.00498746
         367     1.32025     1.34723  0.00497441
