#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         240    -0.32477   -0.447998   0.0110047
         241   -0.321242   -0.447472   0.0109716
         242    -0.29874   -0.446857   0.0109435
         243   -0.319521   -0.446333    0.010911
         244   -0.382252   -0.446071   0.0108694
         245   -0.374161   -0.445777    0.010829
         246   -0.355507    -0.44541   0.0107912
         247   -0.362831   -0.445076   0.0107527
         248   -0.374009   -0.444789   0.0107132
         249   -0.382919   -0.444541    0.010673
         250   -0.415044   -0.444423    0.010631
         251    -0.46654   -0.444511    0.010589
         252    -0.46261   -0.444583   0.0105472
         253    -0.45123   -0.444609   0.0105056
         254   -0.430819   -0.444555   0.0104644
         255    -0.44035   -0.444538   0.0104233
         256    -0.42569   -0.444465   0.0103829
         257   -0.375856   -0.444198   0.0103459
         258   -0.362648   -0.443882   0.0103106
         259   -0.374189   -0.443613   0.0102743
         260   -0.411128   -0.443488   0.0102356
         261   -0.440264   -0.443475   0.0101964
         262   -0.415406   -0.443368    0.010158
         263   -0.382375   -0.443136    0.010122
         264   -0.382783   -0.442908   0.0100863
         265   -0.398228   -0.442739   0.0100496
         266   -0.415238   -0.442636   0.0100124
         267   -0.394414   -0.442455  0.00997651
         268   -0.398876   -0.442293  0.00994061
         269   -0.398699    -0.44213  0.00990498
         270   -0.388884   -0.441933  0.00987026
         271   -0.400505    -0.44178  0.00983502
         272   -0.414827   -0.441681  0.00979936
         273   -0.394901    -0.44151  0.00976496
         274    -0.40658   -0.441382  0.00973016
         275   -0.410471    -0.44127  0.00969542
         276   -0.402717    -0.44113   0.0096613
         277   -0.363714   -0.440851  0.00963046
         278   -0.363964   -0.440574  0.00959979
         279   -0.386355    -0.44038  0.00956735
         280   -0.377401   -0.440155  0.00953583
         281   -0.351015   -0.439838  0.00950717
         282   -0.337192   -0.439474  0.00948042
         283    -0.33831   -0.439116  0.00945365
         284   -0.311358   -0.438667  0.00943106
         285   -0.324088   -0.438264  0.00940654
         286   -0.358554   -0.437986  0.00937778
         287    -0.39191   -0.437825  0.00934647
         288   -0.439944   -0.437833  0.00931402
         289   -0.500624    -0.43805  0.00928433
         290   -0.472564   -0.438169  0.00925308
         291   -0.416781   -0.438095  0.00922157
         292   -0.403513   -0.437977  0.00919075
         293   -0.414234   -0.437896  0.00915974
         294   -0.411594   -0.437806  0.00912902
         295    -0.42348   -0.437758  0.00909821
         296   -0.408318   -0.437658  0.00906801
         297    -0.38044   -0.437466  0.00903953
         298   -0.343827   -0.437152  0.00901465
         299   -0.333853   -0.436806  0.00899112
         300   -0.342559   -0.436492  0.00896664
         301   -0.346665   -0.436193  0.00894181
         302   -0.347174   -0.435899  0.00891706
         303   -0.329735   -0.435548  0.00889451
         304   -0.350649   -0.435269  0.00886964
         305   -0.380375   -0.435089  0.00884238
         306   -0.392876   -0.434951  0.00881456
         307   -0.386967   -0.434795  0.00878724
         308   -0.382926   -0.434626  0.00876032
         309   -0.380646   -0.434452  0.00873371
         310   -0.379717   -0.434275  0.00870732
         311   -0.391485   -0.434138  0.00868041
         312   -0.372666   -0.433941  0.00865483
         313   -0.370974   -0.433739  0.00862951
         314   -0.379175   -0.433566  0.00860378
         315   -0.420106   -0.433523  0.00857657
         316   -0.425975   -0.433499  0.00854946
         317   -0.405748   -0.433411  0.00852294
         318   -0.360113   -0.433181  0.00849926
         319   -0.340052   -0.432889  0.00847763
         320   -0.331911   -0.432573    0.008457
         321   -0.311034   -0.432195  0.00843913
         322   -0.334842   -0.431892  0.00841833
         323   -0.351387   -0.431643  0.00839596
         324    -0.36913    -0.43145  0.00837226
         325    -0.37892   -0.431289  0.00834806
