# best_L1 average_L1
69.8472 69.8472
69.8472 69.8472
69.8472 69.8472
69.8472 69.8472
69.8472 69.8472
69.8472 69.8472
69.8472 69.8472
69.8472 69.8472
69.8472 69.8472
69.8472 69.8472
69.8472 69.8472
69.8472 69.8472
69.8472 69.8472
69.8472 69.8472
69.8472 69.8472
69.8472 69.8472
69.8472 69.8472
69.8472 69.8472
69.6089 69.8462
69.6089 69.7919
69.6089 69.6804
69.6089 69.6118
69.6089 69.6089
69.6089 69.6089
69.6089 69.6089
69.6089 69.6089
69.6089 69.6089
69.6089 69.6089
69.6089 69.6089
69.6089 69.6089
69.6089 69.6089
69.6089 69.6089
69.2347 69.6074
69.2347 69.5401
69.2347 69.3649
69.2347 69.2509
69.2347 69.2347
69.2347 69.2347
69.2347 69.2347
69.2347 69.2347
69.2347 69.2347
69.2347 69.2347
69.2347 69.2347
69.2347 69.2347
69.2347 69.2347
69.2347 69.2347
69.2347 69.2347
69.2347 69.2347
69.2347 69.2347
69.2347 69.2347
69.2347 69.2347
69.2347 69.2347
69.2347 69.2347
69.2347 69.2347
69.2347 69.2347
69.2347 69.2347
69.2347 69.2347
69.0633 69.234
69.0633 69.2018
69.0633 69.1147
69.0633 69.0743
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
69.0633 69.0633
68.905 69.0826
68.905 69.0126
68.905 68.9366
68.905 68.905
68.905 68.905
68.905 68.905
68.905 68.905
68.905 68.905
68.905 69.0449
68.905 70.4888
68.905 70.7035
68.905 69.5401
68.905 68.905
68.905 68.905
68.905 68.905
68.905 68.905
68.905 68.905
68.905 68.905
68.905 68.905
68.905 68.905
68.905 68.905
68.905 68.905
68.905 68.905
68.905 68.905
68.905 68.905
68.905 68.905
68.905 68.905
68.905 68.905
68.905 68.905
68.905 68.905
68.905 68.905
68.905 68.905
68.3544 68.9028
68.3544 68.7919
68.3544 68.4873
68.3544 68.3544
68.3544 68.3544
68.3156 68.3542
68.3156 68.3468
68.3156 68.3271
68.3156 68.3192
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.4164
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.3156 68.3156
68.225 68.3153
68.225 68.2939
68.225 68.2471
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
68.225 68.225
66.5899 67.8945
66.5899 67.0622
66.5899 66.5899
66.5899 66.5899
66.5899 66.5899
66.5899 66.5899
66.5899 66.5899
66.5899 66.5899
66.5899 66.5899
66.5899 66.5899
66.5899 66.5899
66.2556 66.5886
66.2556 66.5097
66.2556 66.3439
66.2556 66.2556
66.2556 66.2556
66.2556 66.2556
66.2556 66.2556
66.2556 66.2556
66.2556 66.2556
66.2556 66.2556
66.2556 66.2556
66.2556 66.2556
66.2556 66.2556
66.2556 66.2556
66.2556 66.2556
66.2556 66.2556
66.2556 66.2556
66.2556 66.2556
66.2556 66.2556
66.2556 66.2556
66.2556 66.2556
66.2556 66.2556
66.2556 66.2556
66.1594 66.2552
66.1594 66.2295
66.1594 66.1721
66.1594 66.1594
65.5845 66.1571
65.5845 66.0237
65.5845 65.6604
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 66.174
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
65.5845 65.5845
