#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         298     1.59653      1.5966 1.87634e-05
         299     1.59645      1.5966 1.87072e-05
         300      1.5971      1.5966 1.87206e-05
         301     1.59669      1.5966 1.86608e-05
         302     1.59648      1.5966 1.86033e-05
         303     1.59641      1.5966 1.85524e-05
         304     1.59654      1.5966 1.84924e-05
         305     1.59639      1.5966  1.8444e-05
         306     1.59688      1.5966 1.84062e-05
         307     1.59657      1.5966 1.83465e-05
         308      1.5964      1.5966  1.8298e-05
         309      1.5972      1.5966 1.83432e-05
         310     1.59736      1.5966 1.84451e-05
         311     1.59586      1.5966 1.85398e-05
         312     1.59707      1.5966 1.85402e-05
         313      1.5963      1.5966 1.85054e-05
         314     1.59614      1.5966 1.85057e-05
         315     1.59708      1.5966 1.85089e-05
         316     1.59712      1.5966 1.85228e-05
         317      1.5967      1.5966 1.84672e-05
         318     1.59625      1.5966 1.84418e-05
         319     1.59646      1.5966 1.83896e-05
         320     1.59616      1.5966 1.83837e-05
         321     1.59652      1.5966  1.8328e-05
         322     1.59662      1.5966 1.82712e-05
         323     1.59686      1.5966 1.82331e-05
         324      1.5966      1.5966 1.81768e-05
         325     1.59605      1.5966 1.81998e-05
         326      1.5967      1.5966 1.81466e-05
         327      1.5966      1.5966 1.80911e-05
         328     1.59693      1.5966 1.80648e-05
         329     1.59616      1.5966 1.80595e-05
         330     1.59636      1.5966 1.80195e-05
         331     1.59675      1.5966  1.7971e-05
         332     1.59704      1.5966 1.79659e-05
         333      1.5967      1.5966 1.79143e-05
         334     1.59674      1.5966 1.78656e-05
         335     1.59595      1.5966 1.79159e-05
         336     1.59649      1.5966 1.78653e-05
         337     1.59716      1.5966 1.78912e-05
         338     1.59656      1.5966 1.78387e-05
         339     1.59679      1.5966  1.7795e-05
         340     1.59654      1.5966 1.77435e-05
         341     1.59691      1.5966 1.77152e-05
         342     1.59679      1.5966 1.76722e-05
         343     1.59657      1.5966  1.7621e-05
         344     1.59668      1.5966 1.75713e-05
         345     1.59681      1.5966 1.75312e-05
         346     1.59702      1.5966 1.75213e-05
         347      1.5968      1.5966 1.74804e-05
         348     1.59647      1.5966 1.74346e-05
         349      1.5967      1.5966 1.73867e-05
         350      1.5965      1.5966 1.73396e-05
         351     1.59643      1.5966  1.7297e-05
         352     1.59617      1.5966 1.72914e-05
         353     1.59755      1.5966 1.74484e-05
         354     1.59617      1.5966 1.74418e-05
