# block_number expected_H error_H
397 -0.44428957 0.00054736
398 -0.44430794 0.00054629
399 -0.44428142 0.00054557
400 -0.44427996 0.00054421
401 -0.44425287 0.00054353
402 -0.44423129 0.00054261
403 -0.44421121 0.00054163
404 -0.44420693 0.00054031
405 -0.44420234 0.00053900
406 -0.44425315 0.00054007
407 -0.44427212 0.00053908
408 -0.44427149 0.00053776
409 -0.44430898 0.00053775
410 -0.44432301 0.00053663
411 -0.44431350 0.00053541
412 -0.44433200 0.00053443
413 -0.44433769 0.00053317
414 -0.44428158 0.00053483
415 -0.44431749 0.00053475
416 -0.44428578 0.00053441
417 -0.44431112 0.00053373
418 -0.44432970 0.00053278
419 -0.44427184 0.00053465
420 -0.44425945 0.00053352
421 -0.44429763 0.00053362
422 -0.44430755 0.00053245
423 -0.44430962 0.00053120
424 -0.44431268 0.00052996
425 -0.44430117 0.00052884
426 -0.44431713 0.00052784
427 -0.44430977 0.00052666
428 -0.44426719 0.00052715
429 -0.44425886 0.00052599
430 -0.44423412 0.00052535
431 -0.44423255 0.00052413
432 -0.44424184 0.00052300
433 -0.44425349 0.00052193
434 -0.44427611 0.00052122
435 -0.44427129 0.00052004
436 -0.44426308 0.00051892
437 -0.44424426 0.00051807
438 -0.44424796 0.00051690
439 -0.44418673 0.00051935
440 -0.44419362 0.00051822
441 -0.44415727 0.00051832
442 -0.44410265 0.00052002
443 -0.44412192 0.00051921
444 -0.44415521 0.00051911
445 -0.44407937 0.00052347
446 -0.44410107 0.00052275
447 -0.44411922 0.00052189
448 -0.44410788 0.00052085
449 -0.44411040 0.00051970
450 -0.44410312 0.00051860
451 -0.44409590 0.00051750
452 -0.44411270 0.00051663
453 -0.44409936 0.00051566
454 -0.44410219 0.00051454
455 -0.44411853 0.00051367
456 -0.44416977 0.00051510
457 -0.44420623 0.00051526
458 -0.44421094 0.00051416
459 -0.44412618 0.00052000
460 -0.44411297 0.00051904
461 -0.44410863 0.00051793
462 -0.44409138 0.00051710
463 -0.44411292 0.00051643
464 -0.44411188 0.00051532
465 -0.44411655 0.00051423
466 -0.44410569 0.00051325
467 -0.44411123 0.00051218
468 -0.44413568 0.00051167
469 -0.44414789 0.00051073
470 -0.44414728 0.00050964
471 -0.44412625 0.00050900
472 -0.44408714 0.00050942
473 -0.44403918 0.00051060
474 -0.44404205 0.00050954
475 -0.44404165 0.00050846
476 -0.44403761 0.00050741
477 -0.44404147 0.00050636
478 -0.44402551 0.00050556
479 -0.44403846 0.00050467
480 -0.44402497 0.00050380
481 -0.44405124 0.00050344
482 -0.44405698 0.00050243
483 -0.44405209 0.00050141
484 -0.44406761 0.00050062
485 -0.44408452 0.00049987
486 -0.44407477 0.00049894
487 -0.44408058 0.00049795
488 -0.44408297 0.00049694
489 -0.44406415 0.00049628
490 -0.44406100 0.00049528
491 -0.44407781 0.00049456
492 -0.44403289 0.00049559
493 -0.44402520 0.00049465
494 -0.44403810 0.00049382
495 -0.44401788 0.00049323
496 -0.44401345 0.00049226
497 -0.44402809 0.00049149
498 -0.44400742 0.00049094
499 -0.44399753 0.00049006
500 -0.44398030 0.00048938
501 -0.44397887 0.00048841
502 -0.44398749 0.00048751
503 -0.44396582 0.00048702
504 -0.44396272 0.00048607
505 -0.44393928 0.00048567
506 -0.44394235 0.00048472
507 -0.44393401 0.00048384
508 -0.44396450 0.00048385
509 -0.44398675 0.00048341
510 -0.44400505 0.00048281
511 -0.44401034 0.00048190
512 -0.44402507 0.00048118
513 -0.44402579 0.00048025
514 -0.44396003 0.00048380
515 -0.44397577 0.00048312
516 -0.44398591 0.00048229
517 -0.44399908 0.00048154
518 -0.44398465 0.00048083
519 -0.44396639 0.00048025
520 -0.44400501 0.00048088
521 -0.44396039 0.00048203
522 -0.44394776 0.00048127
523 -0.44391328 0.00048159
524 -0.44392964 0.00048095
525 -0.44392791 0.00048004
526 -0.44392975 0.00047913
527 -0.44396477 0.00047950
528 -0.44400274 0.00048010
529 -0.44400863 0.00047923
530 -0.44403631 0.00047912
531 -0.44405418 0.00047856
532 -0.44406319 0.00047774
533 -0.44407871 0.00047710
534 -0.44407458 0.00047622
535 -0.44405511 0.00047573
536 -0.44406529 0.00047496
537 -0.44407169 0.00047412
538 -0.44410942 0.00047474
539 -0.44408894 0.00047430
540 -0.44402932 0.00047716
541 -0.44402175 0.00047634
542 -0.44405118 0.00047637
543 -0.44400990 0.00047728
544 -0.44400734 0.00047642
545 -0.44400013 0.00047560
546 -0.44402678 0.00047547
547 -0.44403812 0.00047474
548 -0.44401884 0.00047427
549 -0.44397598 0.00047534
550 -0.44396305 0.00047465
551 -0.44393237 0.00047478
552 -0.44390560 0.00047468
553 -0.44392533 0.00047423
554 -0.44395125 0.00047409
555 -0.44397528 0.00047384
556 -0.44396034 0.00047323
557 -0.44395697 0.00047239
558 -0.44397622 0.00047194
559 -0.44396806 0.00047117
560 -0.44394767 0.00047077
561 -0.44395497 0.00046999
562 -0.44392047 0.00047042
563 -0.44384060 0.00047633
564 -0.44386557 0.00047614
565 -0.44385828 0.00047535
566 -0.44386686 0.00047459
567 -0.44385559 0.00047389
568 -0.44387692 0.00047353
569 -0.44387473 0.00047271
570 -0.44386470 0.00047199
571 -0.44389062 0.00047187
572 -0.44390693 0.00047133
573 -0.44393967 0.00047165
574 -0.44394898 0.00047092
575 -0.44397331 0.00047073
576 -0.44395387 0.00047031
577 -0.44394868 0.00046953
578 -0.44392914 0.00046912
579 -0.44392412 0.00046834
580 -0.44393768 0.00046773
581 -0.44392380 0.00046713
582 -0.44392930 0.00046636
583 -0.44390871 0.00046602
584 -0.44389713 0.00046537
585 -0.44391189 0.00046481
586 -0.44392016 0.00046409
587 -0.44392335 0.00046331
588 -0.44392738 0.00046254
589 -0.44392834 0.00046176
590 -0.44391534 0.00046116
591 -0.44392552 0.00046049
592 -0.44392832 0.00045972
593 -0.44390566 0.00045951
594 -0.44394882 0.00046076
595 -0.44397006 0.00046047
596 -0.44396400 0.00045974
597 -0.44395786 0.00045901
598 -0.44396419 0.00045829
599 -0.44394801 0.00045781
600 -0.44397158 0.00045766
601 -0.44397331 0.00045690
602 -0.44399266 0.00045655
603 -0.44395244 0.00045757
604 -0.44396394 0.00045696
605 -0.44394271 0.00045669
606 -0.44397687 0.00045722
607 -0.44398001 0.00045648
608 -0.44395188 0.00045659
609 -0.44394999 0.00045585
610 -0.44395424 0.00045512
611 -0.44396376 0.00045448
612 -0.44396341 0.00045374
613 -0.44395916 0.00045302
614 -0.44396664 0.00045234
615 -0.44397177 0.00045163
616 -0.44398059 0.00045099
617 -0.44398473 0.00045028
618 -0.44399414 0.00044965
619 -0.44399907 0.00044895
620 -0.44399106 0.00044830
621 -0.44399156 0.00044758
622 -0.44398246 0.00044695
623 -0.44397246 0.00044634
624 -0.44400311 0.00044668
625 -0.44401436 0.00044611
626 -0.44400823 0.00044544
627 -0.44400744 0.00044473
628 -0.44395683 0.00044690
629 -0.44396905 0.00044636
630 -0.44397824 0.00044574
631 -0.44397175 0.00044508
632 -0.44395494 0.00044470
633 -0.44396697 0.00044416
634 -0.44391642 0.00044633
635 -0.44391043 0.00044567
636 -0.44388525 0.00044568
637 -0.44386020 0.00044569
638 -0.44388567 0.00044572
639 -0.44388661 0.00044502
640 -0.44387207 0.00044456
641 -0.44386825 0.00044389
642 -0.44385944 0.00044328
643 -0.44386429 0.00044262
644 -0.44387647 0.00044210
645 -0.44387597 0.00044142
646 -0.44388211 0.00044078
647 -0.44390459 0.00044067
648 -0.44388519 0.00044042
649 -0.44388753 0.00043975
650 -0.44388033 0.00043913
651 -0.44387988 0.00043846
652 -0.44387285 0.00043784
653 -0.44386976 0.00043718
654 -0.44389283 0.00043712
655 -0.44392642 0.00043775
656 -0.44391682 0.00043718
657 -0.44395542 0.00043822
658 -0.44393271 0.00043815
659 -0.44392568 0.00043754
660 -0.44392569 0.00043688
661 -0.44394029 0.00043646
662 -0.44393488 0.00043584
663 -0.44395447 0.00043562
664 -0.44396019 0.00043500
665 -0.44394901 0.00043449
666 -0.44393231 0.00043416
667 -0.44393227 0.00043351
668 -0.44392988 0.00043287
669 -0.44392092 0.00043231
670 -0.44389021 0.00043276
671 -0.44388895 0.00043212
672 -0.44391666 0.00043236
673 -0.44393629 0.00043217
674 -0.44391770 0.00043193
675 -0.44392205 0.00043131
676 -0.44392436 0.00043068
677 -0.44386134 0.00043464
678 -0.44385356 0.00043407
679 -0.44386049 0.00043348
680 -0.44387277 0.00043302
681 -0.44385240 0.00043286
682 -0.44385826 0.00043227
683 -0.44388234 0.00043231
684 -0.44390612 0.00043233
685 -0.44390147 0.00043172
686 -0.44391491 0.00043131
687 -0.44392476 0.00043079
688 -0.44393243 0.00043023
689 -0.44393613 0.00042963
690 -0.44394401 0.00042908
691 -0.44393012 0.00042868
692 -0.44397888 0.00043083
693 -0.44398609 0.00043027
694 -0.44399660 0.00042978
695 -0.44399333 0.00042917
696 -0.44398974 0.00042857
697 -0.44396032 0.00042897
698 -0.44395636 0.00042837
699 -0.44395625 0.00042776
700 -0.44396851 0.00042732
701 -0.44396916 0.00042671
702 -0.44397520 0.00042615
703 -0.44395125 0.00042622
704 -0.44396676 0.00042589
705 -0.44396696 0.00042529
706 -0.44397721 0.00042481
707 -0.44397229 0.00042424
708 -0.44396093 0.00042379
709 -0.44397723 0.00042351
710 -0.44398034 0.00042293
711 -0.44398008 0.00042233
712 -0.44398428 0.00042176
713 -0.44399421 0.00042129
714 -0.44396377 0.00042180
715 -0.44396661 0.00042122
716 -0.44394625 0.00042112
717 -0.44395995 0.00042076
718 -0.44395489 0.00042020
719 -0.44394223 0.00041981
720 -0.44394201 0.00041923
721 -0.44394650 0.00041867
722 -0.44396955 0.00041873
723 -0.44396145 0.00041823
724 -0.44396078 0.00041765
725 -0.44398923 0.00041804
726 -0.44401410 0.00041821
727 -0.44403319 0.00041807
728 -0.44403791 0.00041752
729 -0.44405695 0.00041738
730 -0.44407602 0.00041725
731 -0.44409182 0.00041698
732 -0.44409970 0.00041648
733 -0.44407488 0.00041665
734 -0.44409354 0.00041650
735 -0.44411563 0.00041652
736 -0.44412084 0.00041599
737 -0.44413147 0.00041556
738 -0.44412980 0.00041500
739 -0.44412768 0.00041445
740 -0.44413250 0.00041392
741 -0.44413023 0.00041336
742 -0.44413993 0.00041292
743 -0.44414263 0.00041237
744 -0.44412324 0.00041228
745 -0.44411392 0.00041183
746 -0.44407408 0.00041320
747 -0.44406750 0.00041270
748 -0.44407159 0.00041217
749 -0.44407581 0.00041164
750 -0.44408254 0.00041115
751 -0.44406817 0.00041085
752 -0.44405866 0.00041042
753 -0.44404257 0.00041019
754 -0.44405471 0.00040983
755 -0.44404314 0.00040945
756 -0.44404915 0.00040895
757 -0.44406683 0.00040879
758 -0.44403924 0.00040918
759 -0.44406406 0.00040940
760 -0.44405260 0.00040902
761 -0.44405904 0.00040854
762 -0.44404547 0.00040823
763 -0.44404657 0.00040769
764 -0.44405157 0.00040719
765 -0.44406030 0.00040675
766 -0.44409083 0.00040737
767 -0.44409329 0.00040684
768 -0.44407854 0.00040658
769 -0.44410079 0.00040666
770 -0.44412009 0.00040659
771 -0.44413354 0.00040629
772 -0.44414740 0.00040600
773 -0.44414133 0.00040552
774 -0.44414061 0.00040500
775 -0.44415321 0.00040467
776 -0.44414132 0.00040432
777 -0.44416310 0.00040439
778 -0.44416745 0.00040389
779 -0.44415897 0.00040347
780 -0.44416354 0.00040297
781 -0.44417961 0.00040278
782 -0.44416322 0.00040260
783 -0.44417364 0.00040222
784 -0.44418005 0.00040176
785 -0.44419910 0.00040170
786 -0.44417796 0.00040174
787 -0.44419663 0.00040167
788 -0.44420475 0.00040124
789 -0.44421740 0.00040093
790 -0.44420702 0.00040056
791 -0.44418800 0.00040051
792 -0.44419806 0.00040013
793 -0.44420762 0.00039974
794 -0.44419801 0.00039935
795 -0.44421078 0.00039905
796 -0.44422321 0.00039874
797 -0.44424161 0.00039867
798 -0.44424228 0.00039817
799 -0.44423125 0.00039783
800 -0.44422286 0.00039742
801 -0.44420275 0.00039743
802 -0.44420975 0.00039700
803 -0.44421406 0.00039653
804 -0.44419354 0.00039656
805 -0.44420662 0.00039629
806 -0.44419781 0.00039590
807 -0.44419596 0.00039541
808 -0.44421356 0.00039531
809 -0.44420276 0.00039497
810 -0.44421029 0.00039456
811 -0.44416450 0.00039672
812 -0.44416715 0.00039624
813 -0.44416914 0.00039576
814 -0.44415531 0.00039552
815 -0.44414466 0.00039518
816 -0.44416273 0.00039510
817 -0.44418610 0.00039531
818 -0.44420316 0.00039520
819 -0.44419177 0.00039488
820 -0.44421481 0.00039507
821 -0.44422942 0.00039486
822 -0.44424902 0.00039487
823 -0.44426101 0.00039457
824 -0.44426116 0.00039409
825 -0.44425595 0.00039365
826 -0.44426971 0.00039341
827 -0.44425590 0.00039318
828 -0.44426437 0.00039280
829 -0.44428287 0.00039276
830 -0.44430426 0.00039287
831 -0.44431951 0.00039269
832 -0.44431430 0.00039226
833 -0.44430284 0.00039195
