# SA_step expected_H error_H
302 -0.36591231 0.00232521
303 -0.35334721 0.00224140
304 -0.33308598 0.00243889
305 -0.31557218 0.00277246
306 -0.29668334 0.00282500
307 -0.30436749 0.00288997
308 -0.29821905 0.00295703
309 -0.29061157 0.00295499
310 -0.27147097 0.00312574
311 -0.30013869 0.00296479
312 -0.28753254 0.00297109
313 -0.30348041 0.00287539
314 -0.31435610 0.00273672
315 -0.33673700 0.00248860
316 -0.33124139 0.00248696
317 -0.30366820 0.00280366
318 -0.33675732 0.00261437
319 -0.33858563 0.00251135
320 -0.32590782 0.00252728
321 -0.33899724 0.00236352
322 -0.34725189 0.00238952
323 -0.33467891 0.00249472
324 -0.34616021 0.00248837
325 -0.32895054 0.00256707
326 -0.31272921 0.00274985
327 -0.31422255 0.00280342
328 -0.32764612 0.00255259
329 -0.29789113 0.00284830
330 -0.30672451 0.00280716
331 -0.30557648 0.00304027
332 -0.27543930 0.00318608
333 -0.30114527 0.00279247
334 -0.29342905 0.00289394
335 -0.28891482 0.00308327
336 -0.27287582 0.00307400
337 -0.27415847 0.00309117
338 -0.28132653 0.00313756
339 -0.25882111 0.00307062
340 -0.26055195 0.00310203
341 -0.28297663 0.00303168
342 -0.27112391 0.00318279
343 -0.26773542 0.00310665
344 -0.26289815 0.00316874
345 -0.26823048 0.00317026
346 -0.28806190 0.00300591
347 -0.27243814 0.00306847
348 -0.26885782 0.00318319
349 -0.29358082 0.00299849
350 -0.26273220 0.00324394
351 -0.30948385 0.00281542
352 -0.28723822 0.00303127
353 -0.26426925 0.00321849
354 -0.24198277 0.00333485
355 -0.28736570 0.00298626
356 -0.28699723 0.00302985
357 -0.30879325 0.00286208
358 -0.29701235 0.00290806
359 -0.29347641 0.00288184
360 -0.27150875 0.00298380
361 -0.29104219 0.00289155
362 -0.27051615 0.00316699
363 -0.23862076 0.00347961
364 -0.24965102 0.00327378
365 -0.27969454 0.00292871
366 -0.28747049 0.00308873
367 -0.25727089 0.00335354
368 -0.24624824 0.00329627
369 -0.25044839 0.00328782
370 -0.23398191 0.00353373
371 -0.21851119 0.00349825
372 -0.17408949 0.00386081
373 -0.21750093 0.00371245
374 -0.17520388 0.00402918
375 -0.21567999 0.00352751
376 -0.21698334 0.00372038
377 -0.19168950 0.00373827
378 -0.18993413 0.00372928
379 -0.21037547 0.00356134
380 -0.24272235 0.00336256
381 -0.20268968 0.00376030
382 -0.25050456 0.00341582
383 -0.26622477 0.00328142
384 -0.25625810 0.00333017
385 -0.23811523 0.00326030
386 -0.27206274 0.00325946
387 -0.23577157 0.00342749
388 -0.23501555 0.00340988
389 -0.29911640 0.00291166
390 -0.27229233 0.00313315
391 -0.29041384 0.00297024
392 -0.31863623 0.00273522
393 -0.30142816 0.00278234
394 -0.27288019 0.00299881
395 -0.30214408 0.00284808
396 -0.30993745 0.00277456
397 -0.33580407 0.00239892
398 -0.35251908 0.00244299
399 -0.35575879 0.00239385
400 -0.37630929 0.00205179
401 -0.39152670 0.00187192
402 -0.40001525 0.00168883
403 -0.39883153 0.00166380
404 -0.40549619 0.00158116
405 -0.41652114 0.00152278
406 -0.41659363 0.00150923
407 -0.41196746 0.00152781
408 -0.40882757 0.00161851
409 -0.41803128 0.00148163
410 -0.42485215 0.00131647
411 -0.42827550 0.00129255
412 -0.42723539 0.00132019
413 -0.42784102 0.00132392
414 -0.42597523 0.00136010
415 -0.41785297 0.00147375
416 -0.42545995 0.00129238
417 -0.41595188 0.00148461
418 -0.41637817 0.00144846
419 -0.41135815 0.00162724
420 -0.42329755 0.00137066
421 -0.42164744 0.00143738
422 -0.42234583 0.00136744
423 -0.42484748 0.00138454
424 -0.41383708 0.00152399
425 -0.42320276 0.00139854
426 -0.42609002 0.00136469
427 -0.43313694 0.00124201
428 -0.43209798 0.00124037
429 -0.42615515 0.00130059
430 -0.43280395 0.00125832
431 -0.43115999 0.00121887
432 -0.42849821 0.00133622
433 -0.42729586 0.00128083
434 -0.43183354 0.00122321
435 -0.43647312 0.00113855
436 -0.43893547 0.00112996
437 -0.43561895 0.00115329
438 -0.43668152 0.00118413
439 -0.43732321 0.00115282
440 -0.44258104 0.00107453
441 -0.44337633 0.00113056
442 -0.44298640 0.00107971
443 -0.44317765 0.00109068
444 -0.44161169 0.00117875
445 -0.44117949 0.00107244
446 -0.43903314 0.00111363
447 -0.44249620 0.00110958
448 -0.44538585 0.00101890
449 -0.44160149 0.00113472
450 -0.44170406 0.00107447
451 -0.44183470 0.00112789
452 -0.43756117 0.00109643
453 -0.43864636 0.00110060
454 -0.44112557 0.00104983
455 -0.44157197 0.00102273
456 -0.44029005 0.00107759
457 -0.44271390 0.00102184
458 -0.44322850 0.00106310
459 -0.44061369 0.00099189
460 -0.44420450 0.00106397
461 -0.44234905 0.00120667
462 -0.44144055 0.00114253
463 -0.44201458 0.00109816
464 -0.44287422 0.00109557
465 -0.43955371 0.00124581
466 -0.44364285 0.00105892
467 -0.43992069 0.00119527
468 -0.44361750 0.00106229
469 -0.44430749 0.00109240
470 -0.44502253 0.00113375
471 -0.44449814 0.00109661
472 -0.44405546 0.00108466
473 -0.44321344 0.00116661
474 -0.44460130 0.00114929
475 -0.44297642 0.00118140
476 -0.44245679 0.00114992
477 -0.44352312 0.00117976
478 -0.44465519 0.00109334
479 -0.44241062 0.00116346
480 -0.44251868 0.00128917
481 -0.44250045 0.00124349
482 -0.43754176 0.00134694
483 -0.43708689 0.00131045
484 -0.43928033 0.00137609
485 -0.43491951 0.00190433
486 -0.43432209 0.00154135
487 -0.43677326 0.00139929
488 -0.43418200 0.00145259
489 -0.43380442 0.00131386
490 -0.43863594 0.00146233
491 -0.43468277 0.00142848
492 -0.43605155 0.00142575
493 -0.44074293 0.00126853
494 -0.43855195 0.00129306
495 -0.43747959 0.00128102
496 -0.43725043 0.00125744
497 -0.43807935 0.00120995
498 -0.43325666 0.00115621
499 -0.43207672 0.00120516
500 -0.43412606 0.00124175
501 -0.43627346 0.00129905
502 -0.43758224 0.00120020
503 -0.43625070 0.00121455
504 -0.43626209 0.00127645
505 -0.43704622 0.00121203
506 -0.43132925 0.00128117
507 -0.43052032 0.00132123
508 -0.43658280 0.00123637
509 -0.43243994 0.00122670
510 -0.42488800 0.00127294
511 -0.42900036 0.00133306
512 -0.43018955 0.00127188
513 -0.43382679 0.00136108
514 -0.42892903 0.00125363
515 -0.42852153 0.00135955
516 -0.43547256 0.00117499
517 -0.43735493 0.00121800
518 -0.43290524 0.00135709
519 -0.43386584 0.00133373
520 -0.42972504 0.00124966
521 -0.42750014 0.00129990
522 -0.43445976 0.00125830
523 -0.43703512 0.00134446
524 -0.43868496 0.00123719
525 -0.43536818 0.00122410
526 -0.43652816 0.00128050
527 -0.43746281 0.00119773
528 -0.43768198 0.00120199
529 -0.43740074 0.00117700
530 -0.43855335 0.00126429
531 -0.43517409 0.00126089
532 -0.43765559 0.00118566
533 -0.43689082 0.00121062
534 -0.44050627 0.00124836
535 -0.43999721 0.00108038
536 -0.43638262 0.00125646
537 -0.43660289 0.00110908
538 -0.44205153 0.00114388
539 -0.43963414 0.00126235
540 -0.44154305 0.00109618
541 -0.43537346 0.00117460
542 -0.43527013 0.00122319
543 -0.43259046 0.00120011
544 -0.43098692 0.00124931
545 -0.42201841 0.00133489
546 -0.42308689 0.00137311
547 -0.42849854 0.00129553
548 -0.43013127 0.00116961
549 -0.43067007 0.00118068
550 -0.43303128 0.00103803
551 -0.42956122 0.00116979
552 -0.42704626 0.00117264
553 -0.42114725 0.00128754
554 -0.42192099 0.00135937
555 -0.42403222 0.00123850
556 -0.41375640 0.00130757
557 -0.42004190 0.00127601
558 -0.41830378 0.00127125
559 -0.41617721 0.00134793
560 -0.42150253 0.00136899
561 -0.42285961 0.00126367
562 -0.41138264 0.00142106
563 -0.42236851 0.00131314
564 -0.42646088 0.00126693
565 -0.42455402 0.00125745
566 -0.43082427 0.00119791
567 -0.42908056 0.00115607
568 -0.43186921 0.00112076
569 -0.43432480 0.00118856
570 -0.43797549 0.00115476
571 -0.43859445 0.00115481
572 -0.43760151 0.00109580
573 -0.43950661 0.00111124
574 -0.43812481 0.00103844
575 -0.43474432 0.00102701
576 -0.44073156 0.00104094
577 -0.43803592 0.00106612
578 -0.43907965 0.00102129
579 -0.43916184 0.00099720
580 -0.44077029 0.00105103
581 -0.43925284 0.00098304
582 -0.43864593 0.00089225
583 -0.43586922 0.00103895
584 -0.43954338 0.00099934
585 -0.43956773 0.00108114
586 -0.44441360 0.00099350
587 -0.44161143 0.00104829
588 -0.44231321 0.00101872
589 -0.44231949 0.00099600
590 -0.44319028 0.00110273
591 -0.44382192 0.00100938
592 -0.44065683 0.00113024
593 -0.44194492 0.00107935
594 -0.44105861 0.00111909
595 -0.44427431 0.00105639
596 -0.44130086 0.00104383
597 -0.43975617 0.00111240
598 -0.44015119 0.00114376
599 -0.43848912 0.00109491
600 -0.44149884 0.00104895
601 -0.44410831 0.00104510
602 -0.44356733 0.00105527
603 -0.44218527 0.00105574
604 -0.44527276 0.00103804
605 -0.44264950 0.00104122
606 -0.44454180 0.00103363
607 -0.44242531 0.00105840
608 -0.43955079 0.00105276
609 -0.44344691 0.00104538
610 -0.44252246 0.00110404
611 -0.44102109 0.00103892
612 -0.44076774 0.00102329
613 -0.43982388 0.00101744
614 -0.44194086 0.00097911
615 -0.43876194 0.00107016
616 -0.43999522 0.00093370
617 -0.43573743 0.00102714
618 -0.44116361 0.00105775
619 -0.43941151 0.00100002
620 -0.43674623 0.00104183
621 -0.43577221 0.00098841
622 -0.43672487 0.00114766
623 -0.43859414 0.00099323
624 -0.43711555 0.00113252
625 -0.43321148 0.00114441
626 -0.44098165 0.00103000
627 -0.43555529 0.00113764
628 -0.43658676 0.00116562
629 -0.43330462 0.00131143
630 -0.43963423 0.00106394
631 -0.43769129 0.00104585
632 -0.43664929 0.00101959
633 -0.43661186 0.00106605
634 -0.43763155 0.00100333
635 -0.43887625 0.00111197
636 -0.43982426 0.00094443
637 -0.43870683 0.00097882
638 -0.43675796 0.00106959
639 -0.43898560 0.00104478
640 -0.43853379 0.00102253
641 -0.43624021 0.00132829
642 -0.44073861 0.00112203
643 -0.43996651 0.00111545
644 -0.44110329 0.00115912
645 -0.44438299 0.00111373
646 -0.43974366 0.00128755
647 -0.44307668 0.00106920
648 -0.44227428 0.00125662
649 -0.44199780 0.00113896
650 -0.44068253 0.00117486
651 -0.44208702 0.00119615
652 -0.44145398 0.00118252
653 -0.43759693 0.00138374
654 -0.44400595 0.00124809
655 -0.44115428 0.00119353
656 -0.44021076 0.00120147
657 -0.43688814 0.00130089
658 -0.43046973 0.00152803
659 -0.43212706 0.00147856
660 -0.42624829 0.00175614
661 -0.42892521 0.00154095
662 -0.42680718 0.00154690
663 -0.42337238 0.00167346
664 -0.42274799 0.00172693
665 -0.41834753 0.00183915
666 -0.41258390 0.00216373
667 -0.41814501 0.00199038
668 -0.42143583 0.00193397
669 -0.43044172 0.00158615
670 -0.41927589 0.00189580
671 -0.41841183 0.00186517
672 -0.42674036 0.00170788
673 -0.41961053 0.00183834
674 -0.41511769 0.00191585
675 -0.42201205 0.00181378
676 -0.43060706 0.00163614
677 -0.42635145 0.00177689
678 -0.42365289 0.00177670
679 -0.42192849 0.00208847
680 -0.41557037 0.00207510
681 -0.41288059 0.00208737
682 -0.40625815 0.00224348
683 -0.41336014 0.00204099
684 -0.40227429 0.00225018
685 -0.41436514 0.00214671
686 -0.40989263 0.00221887
687 -0.41629951 0.00206693
688 -0.40326827 0.00243870
689 -0.41521894 0.00207206
690 -0.42469031 0.00177006
691 -0.42476635 0.00180006
692 -0.42695397 0.00157276
693 -0.42132070 0.00180984
694 -0.42508299 0.00193485
695 -0.42794971 0.00167860
696 -0.41813839 0.00190476
697 -0.42466847 0.00186132
698 -0.41729163 0.00199070
699 -0.42820947 0.00164770
700 -0.42707186 0.00163087
701 -0.43232098 0.00154928
702 -0.42972892 0.00163874
703 -0.42789240 0.00174188
704 -0.42601844 0.00170893
705 -0.42687006 0.00171592
706 -0.42552874 0.00178299
707 -0.42412290 0.00168637
708 -0.42648079 0.00179976
709 -0.42699336 0.00183348
710 -0.42842477 0.00199493
711 -0.42672012 0.00173125
712 -0.42187139 0.00184864
713 -0.42623688 0.00173122
714 -0.42265649 0.00197505
715 -0.41836409 0.00196578
716 -0.42453754 0.00189192
717 -0.41843923 0.00203184
718 -0.41634455 0.00194235
719 -0.41019268 0.00208010
720 -0.40308036 0.00238013
721 -0.40023271 0.00240672
722 -0.40862899 0.00212735
723 -0.40753937 0.00228957
724 -0.40150765 0.00238846
725 -0.39504146 0.00274044
726 -0.39528213 0.00234989
727 -0.39760630 0.00230666
728 -0.39575447 0.00238068
729 -0.39926232 0.00233969
730 -0.39699143 0.00224888
731 -0.40348655 0.00248613
732 -0.40142654 0.00242803
733 -0.40774479 0.00203188
734 -0.40838831 0.00207412
735 -0.40018893 0.00240624
736 -0.41178500 0.00204591
737 -0.40297817 0.00223066
738 -0.40598111 0.00206796
739 -0.40130336 0.00209014
740 -0.41246633 0.00206384
741 -0.41047305 0.00201559
742 -0.41364456 0.00177471
743 -0.40454107 0.00200474
744 -0.40284283 0.00193161
745 -0.40626999 0.00170563
746 -0.40826138 0.00172009
747 -0.41222735 0.00175155
748 -0.41059792 0.00164410
749 -0.41507759 0.00143741
750 -0.41039065 0.00177862
751 -0.40765591 0.00180194
752 -0.41458110 0.00168898
753 -0.40861678 0.00174866
754 -0.40706593 0.00172276
755 -0.40101825 0.00180781
756 -0.40142473 0.00174050
757 -0.40835184 0.00172652
758 -0.40483144 0.00189701
759 -0.40390061 0.00178395
760 -0.40943698 0.00173428
761 -0.40935059 0.00164250
762 -0.40590213 0.00164037
763 -0.41123300 0.00165685
764 -0.40572354 0.00174782
765 -0.40070534 0.00183987
766 -0.39930166 0.00193914
767 -0.40191440 0.00176862
768 -0.40382743 0.00181611
769 -0.40391303 0.00171750
770 -0.39868885 0.00182777
771 -0.39344914 0.00190115
772 -0.39553591 0.00207870
773 -0.39348193 0.00204729
774 -0.40055936 0.00194162
775 -0.40524417 0.00175835
776 -0.40127245 0.00186177
777 -0.40592772 0.00193972
778 -0.40237968 0.00205852
779 -0.41288435 0.00167240
780 -0.41177733 0.00202610
781 -0.41402705 0.00158571
782 -0.41131900 0.00153766
783 -0.40531609 0.00156113
784 -0.40996964 0.00156407
785 -0.40928890 0.00152841
786 -0.40813609 0.00161096
787 -0.40399189 0.00185895
788 -0.40916554 0.00172108
789 -0.41308413 0.00163980
790 -0.41134980 0.00160507
791 -0.41020508 0.00162924
792 -0.40902461 0.00187168
793 -0.41293918 0.00159034
794 -0.40953707 0.00157580
795 -0.40974979 0.00164466
796 -0.40883698 0.00168266
797 -0.41223592 0.00181871
798 -0.41079985 0.00177280
799 -0.40840546 0.00179745
800 -0.40460207 0.00197246
801 -0.39354418 0.00241548
802 -0.40976829 0.00187729
803 -0.40244110 0.00189600
804 -0.40934935 0.00165745
805 -0.41175585 0.00179327
806 -0.40322952 0.00208639
807 -0.40048387 0.00217050
808 -0.40507301 0.00224882
809 -0.40924164 0.00195018
810 -0.40315479 0.00223672
811 -0.39642823 0.00244149
812 -0.40245860 0.00249138
813 -0.39702081 0.00217877
814 -0.40270850 0.00212568
815 -0.40117111 0.00249972
816 -0.40242660 0.00233595
817 -0.41131627 0.00207813
818 -0.41839924 0.00186815
819 -0.41430328 0.00185340
820 -0.41748225 0.00170045
821 -0.42237628 0.00164692
822 -0.42569127 0.00162404
823 -0.42104979 0.00187298
824 -0.42489799 0.00155955
825 -0.42930276 0.00156739
826 -0.43208000 0.00156733
827 -0.43317622 0.00154098
828 -0.42975235 0.00158743
829 -0.42915662 0.00165432
830 -0.42772537 0.00171421
831 -0.41992657 0.00195014
832 -0.43229323 0.00146335
833 -0.42861373 0.00163677
834 -0.42997123 0.00181362
835 -0.43101511 0.00158771
836 -0.43213092 0.00150833
837 -0.43209722 0.00154328
838 -0.43332508 0.00149289
839 -0.43572855 0.00126389
840 -0.43668013 0.00127463
841 -0.43513423 0.00152969
842 -0.43924574 0.00119599
843 -0.43688339 0.00132541
844 -0.43494694 0.00113563
845 -0.43761076 0.00102825
846 -0.43348252 0.00111879
847 -0.43414897 0.00114158
848 -0.43793069 0.00115842
849 -0.43646830 0.00113822
850 -0.43714900 0.00109251
851 -0.44065784 0.00099695
852 -0.43876192 0.00098849
853 -0.43223316 0.00114345
854 -0.43520560 0.00100864
855 -0.43570414 0.00100239
856 -0.43156875 0.00103738
857 -0.43210926 0.00101305
858 -0.43491197 0.00097642
859 -0.43058267 0.00099579
860 -0.42984125 0.00095785
861 -0.43306404 0.00107513
862 -0.42529311 0.00107913
863 -0.43055742 0.00108452
864 -0.42349918 0.00111278
865 -0.43094734 0.00105391
866 -0.43537930 0.00102140
867 -0.43447533 0.00105688
868 -0.43143713 0.00107547
869 -0.43599626 0.00099792
870 -0.43632029 0.00103677
871 -0.43680623 0.00098869
872 -0.43747747 0.00099933
873 -0.43385163 0.00107140
874 -0.43334597 0.00095509
875 -0.43271605 0.00093522
876 -0.42648471 0.00102265
877 -0.42758680 0.00100587
878 -0.42796962 0.00103780
879 -0.43093741 0.00100469
880 -0.43263645 0.00094084
881 -0.42756861 0.00098238
882 -0.42826215 0.00101356
883 -0.42625524 0.00101687
884 -0.42614905 0.00102561
885 -0.42092546 0.00105083
886 -0.41620096 0.00125243
887 -0.41987622 0.00095872
888 -0.41381416 0.00099455
889 -0.42292625 0.00103839
890 -0.42079010 0.00109813
891 -0.42052764 0.00105272
892 -0.41767614 0.00104405
893 -0.41762351 0.00110187
894 -0.41777392 0.00106169
895 -0.41366306 0.00102334
896 -0.41131446 0.00108346
897 -0.41775682 0.00099051
898 -0.42125628 0.00102215
899 -0.42013557 0.00099070
900 -0.42531234 0.00102492
901 -0.42792225 0.00102298
902 -0.42612889 0.00107612
903 -0.42530203 0.00102053
904 -0.42385453 0.00107738
905 -0.42298192 0.00106428
906 -0.42306900 0.00106472
907 -0.42647025 0.00108823
908 -0.42996688 0.00100428
909 -0.42573730 0.00102248
910 -0.43099779 0.00107978
911 -0.43068347 0.00105662
912 -0.42935335 0.00116402
913 -0.42581861 0.00113726
914 -0.42833872 0.00112922
915 -0.42775661 0.00122252
916 -0.43015581 0.00113264
917 -0.43422813 0.00112177
918 -0.43805494 0.00101512
919 -0.43584767 0.00110542
920 -0.43355332 0.00106492
921 -0.43724900 0.00109250
922 -0.43977388 0.00107495
923 -0.44223747 0.00108902
924 -0.43924270 0.00105986
925 -0.44413526 0.00100928
926 -0.44111181 0.00106234
927 -0.44296600 0.00107087
928 -0.44418210 0.00098507
929 -0.44088503 0.00105568
