# SA_step mu sigma
317 0.76159628 0.50364941
318 0.76095450 0.50369294
319 0.75563752 0.50394210
320 0.75563752 0.50394210
321 0.76518000 0.50658227
322 0.76848517 0.50921373
323 0.76848517 0.50921373
324 0.77437221 0.50762894
325 0.77752052 0.50267094
326 0.77752052 0.50267094
327 0.77101199 0.49645303
328 0.76314397 0.50140986
329 0.76808256 0.49153625
330 0.77234399 0.49488151
331 0.76590921 0.49151202
332 0.76331784 0.48340868
333 0.75451815 0.49198908
334 0.75451815 0.49198908
335 0.76023499 0.48878719
336 0.76728675 0.48336867
337 0.75781303 0.48611887
338 0.75467209 0.48707491
339 0.75467209 0.48707491
340 0.76034430 0.48123464
341 0.76326764 0.48566601
342 0.75700918 0.48380614
343 0.76122980 0.48404443
344 0.75322386 0.48092346
345 0.75685067 0.48297305
346 0.76379251 0.48834494
347 0.76379251 0.48834494
348 0.77067014 0.48465415
349 0.77733968 0.49150150
350 0.77733968 0.49150150
351 0.77263882 0.49620342
352 0.77647018 0.48907121
353 0.77215161 0.48221145
354 0.77215161 0.48221145
355 0.77082883 0.49009791
356 0.76116121 0.48616288
357 0.75606398 0.49595418
358 0.76356528 0.49312972
359 0.77316931 0.49323894
360 0.77316931 0.49323894
361 0.77768784 0.49181937
362 0.78563340 0.48508076
363 0.78563340 0.48508076
364 0.78563340 0.48508076
365 0.78246083 0.48937743
366 0.78729422 0.48938636
367 0.78729422 0.48938636
368 0.79050408 0.47962038
369 0.78274010 0.47932947
370 0.78703671 0.47315537
371 0.78332952 0.47107587
372 0.78332952 0.47107587
373 0.78185985 0.47008347
374 0.77674209 0.46057069
375 0.78131917 0.46863604
376 0.78453317 0.47090281
377 0.78453317 0.47090281
378 0.78453317 0.47090281
379 0.77753206 0.47506946
380 0.78636683 0.48283724
381 0.78636683 0.48283724
382 0.78674826 0.48469479
383 0.78541591 0.49037238
384 0.78541591 0.49037238
385 0.78748444 0.48254585
386 0.79644979 0.49175275
387 0.79644979 0.49175275
388 0.79644979 0.49175275
389 0.79961759 0.50107183
390 0.79961759 0.50107183
