#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         269   -0.464294   -0.380696  0.00223525
         270   -0.462927      -0.381  0.00224762
         271    -0.42017   -0.381145  0.00224397
         272   -0.426723   -0.381313  0.00224197
         273   -0.427282   -0.381481  0.00224007
         274   -0.398113   -0.381542  0.00223272
         275   -0.363199   -0.381475  0.00222559
         276   -0.341558    -0.38133  0.00222222
         277    -0.34529     -0.3812  0.00221801
         278   -0.360747   -0.381127  0.00221125
         279   -0.343655   -0.380992   0.0022074
         280   -0.323453   -0.380787  0.00220906
         281   -0.330224   -0.380607  0.00220851
         282   -0.349234   -0.380496  0.00220348
         283   -0.376732   -0.380482  0.00219574
         284   -0.433203   -0.380668  0.00219584
         285   -0.425347   -0.380825  0.00219372
         286    -0.39327   -0.380868  0.00218648
         287   -0.359923   -0.380795  0.00218008
         288   -0.367761    -0.38075  0.00217298
         289    -0.37964   -0.380746  0.00216547
         290   -0.394445   -0.380793  0.00215852
         291   -0.367895   -0.380749  0.00215155
         292   -0.316648    -0.38053  0.00215535
         293   -0.317508   -0.380315   0.0021587
         294   -0.317185     -0.3801  0.00216201
         295   -0.346489   -0.379986  0.00215769
         296   -0.351433   -0.379889  0.00215255
         297   -0.363879   -0.379835  0.00214598
         298   -0.398555   -0.379898   0.0021397
         299   -0.421834   -0.380039  0.00213713
         300   -0.402086   -0.380112  0.00213127
         301   -0.407587   -0.380203  0.00212614
         302   -0.386923   -0.380226  0.00211922
         303   -0.404269   -0.380305  0.00211371
         304   -0.418974   -0.380432  0.00211058
         305   -0.453947   -0.380673  0.00211738
         306   -0.443107   -0.380877  0.00212027
         307   -0.450175   -0.381103  0.00212534
         308   -0.424614   -0.381244  0.00212313
         309   -0.429643   -0.381401  0.00212203
         310   -0.382366   -0.381404  0.00211519
         311    -0.39723   -0.381455    0.002109
         312   -0.420467    -0.38158  0.00210594
         313   -0.427529   -0.381727  0.00210433
         314   -0.396378   -0.381773  0.00209814
         315   -0.376747   -0.381757  0.00209154
         316   -0.350771   -0.381659  0.00208722
         317   -0.322986   -0.381474  0.00208883
         318   -0.325556   -0.381298  0.00208965
         319   -0.327161   -0.381129  0.00208998
         320   -0.377959   -0.381119  0.00208347
         321   -0.393525   -0.381157  0.00207734
         322   -0.402844   -0.381225  0.00207198
         323   -0.361466   -0.381164  0.00206646
         324    -0.33373   -0.381017  0.00206527
         325   -0.349046   -0.380919  0.00206125
         326   -0.379766   -0.380915  0.00205493
         327   -0.374056   -0.380894  0.00204876
         328   -0.356354   -0.380819  0.00204387
         329   -0.327151   -0.380656  0.00204416
         330   -0.323308   -0.380483  0.00204534
         331   -0.347194   -0.380382  0.00204163
         332   -0.338957   -0.380257  0.00203929
         333   -0.299038   -0.380013   0.0020477
         334   -0.305454    -0.37979   0.0020537
         335   -0.336886   -0.379662  0.00205156
         336   -0.330495   -0.379516  0.00205067
         337   -0.343137   -0.379408  0.00204742
         338   -0.333488   -0.379272  0.00204587
         339   -0.326178   -0.379115  0.00204582
         340   -0.321568   -0.378946  0.00204679
         341   -0.322237    -0.37878  0.00204753
         342   -0.312222   -0.378585  0.00205077
         343   -0.307875   -0.378379  0.00205513
         344   -0.314586   -0.378193  0.00205751
         345   -0.298286   -0.377962  0.00206454
         346   -0.291111   -0.377711  0.00207377
         347   -0.269884     -0.3774  0.00209095
         348   -0.273248   -0.377101  0.00210625
         349   -0.280666   -0.376825  0.00211826
         350   -0.298153     -0.3766   0.0021241
         351   -0.312518   -0.376417  0.00212588
         352    -0.35637    -0.37636  0.00212061
         353   -0.386574   -0.376389   0.0021148
         354   -0.376826    -0.37639  0.00210882
         355   -0.349125   -0.376314  0.00210428
         356   -0.333592   -0.376194  0.00210179
         357   -0.332596   -0.376071  0.00209945
         358   -0.354507   -0.376011  0.00209445
         359   -0.368282    -0.37599  0.00208872
         360    -0.37637   -0.375991  0.00208292
         361   -0.373451   -0.375984  0.00207716
         362   -0.383719   -0.376005  0.00207154
         363   -0.397537   -0.376064  0.00206668
         364   -0.376102   -0.376065    0.002061
         365   -0.379933   -0.376075  0.00205538
         366   -0.350876   -0.376006  0.00205092
         367   -0.341444   -0.375912  0.00204749
         368   -0.365863   -0.375885  0.00204211
         369   -0.380138   -0.375896  0.00203661
         370   -0.412082   -0.375994  0.00203345
         371   -0.401527   -0.376063  0.00202913
         372   -0.384768   -0.376086  0.00202381
         373   -0.364334   -0.376055  0.00201863
         374   -0.386592   -0.376083  0.00201343
         375   -0.377065   -0.376086  0.00200806
         376   -0.373824    -0.37608  0.00200273
         377   -0.361952   -0.376042  0.00199777
         378   -0.348991   -0.375971  0.00199377
         379   -0.351103   -0.375905  0.00198959
         380   -0.316352   -0.375748  0.00199051
         381   -0.308904   -0.375573  0.00199301
         382   -0.322971   -0.375435  0.00199254
         383   -0.347562   -0.375362  0.00198867
         384   -0.348175   -0.375292  0.00198475
         385    -0.31979   -0.375147  0.00198482
         386   -0.268558   -0.374871  0.00199879
         387   -0.249815   -0.374548  0.00201958
         388   -0.267475   -0.374272  0.00203314
         389   -0.318184   -0.374128  0.00203302
         390   -0.364701   -0.374104  0.00202795
         391   -0.354928   -0.374055  0.00202336
         392    -0.35503   -0.374006  0.00201878
         393   -0.364753   -0.373983  0.00201378
         394   -0.351532   -0.373926  0.00200948
         395   -0.345966   -0.373855  0.00200563
         396   -0.338459   -0.373765  0.00200256
         397   -0.346463   -0.373697   0.0019987
         398   -0.326178   -0.373577  0.00199724
         399    -0.32092   -0.373445  0.00199659
         400    -0.33501   -0.373349  0.00199391
         401   -0.354941   -0.373303  0.00198946
         402   -0.358217   -0.373266  0.00198487
         403   -0.338657    -0.37318   0.0019818
         404    -0.31337   -0.373032  0.00198242
         405   -0.328049   -0.372921  0.00198063
         406   -0.357366   -0.372883  0.00197612
         407   -0.390073   -0.372925  0.00197172
         408   -0.395349    -0.37298  0.00196765
         409   -0.395047   -0.373034  0.00196358
         410   -0.401442   -0.373103  0.00196001
         411   -0.401368   -0.373172  0.00195645
         412   -0.422402   -0.373291  0.00195535
         413   -0.434459   -0.373439  0.00195621
         414   -0.437119   -0.373593  0.00195753
         415   -0.418398   -0.373701  0.00195579
         416   -0.412043   -0.373793  0.00195325
         417   -0.382509   -0.373814  0.00194868
         418   -0.359669    -0.37378  0.00194431
         419   -0.333625   -0.373684  0.00194203
         420   -0.344318   -0.373615  0.00193867
         421   -0.370411   -0.373607  0.00193408
         422   -0.394492   -0.373656  0.00193013
         423   -0.369933   -0.373648  0.00192559
         424   -0.338865   -0.373566  0.00192279
         425     -0.3487   -0.373507  0.00191916
         426   -0.365884   -0.373489  0.00191473
         427    -0.36664   -0.373473  0.00191032
         428   -0.364456   -0.373452  0.00190597
         429   -0.395262   -0.373503  0.00190221
         430   -0.419396    -0.37361  0.00190077
         431   -0.438927   -0.373761   0.0019024
         432   -0.452984   -0.373945  0.00190681
         433   -0.419086   -0.374049  0.00190525
         434   -0.407831   -0.374127  0.00190245
         435   -0.406204     -0.3742  0.00189951
         436    -0.42644    -0.37432  0.00189893
         437   -0.428486   -0.374444  0.00189862
         438   -0.415253   -0.374537  0.00189657
         439   -0.428325    -0.37466  0.00189621
         440   -0.421104   -0.374765  0.00189483
         441   -0.409757   -0.374845   0.0018922
         442   -0.366538   -0.374826  0.00188801
         443   -0.377157   -0.374831  0.00188375
         444   -0.371827   -0.374824  0.00187952
         445   -0.346682   -0.374761  0.00187636
         446   -0.359199   -0.374726  0.00187248
         447   -0.374645   -0.374726  0.00186829
         448   -0.358762   -0.374691  0.00186446
         449   -0.325103    -0.37458  0.00186358
         450   -0.283598   -0.374378  0.00187037
         451   -0.324605   -0.374268  0.00186948
         452   -0.354702   -0.374224  0.00186584
         453   -0.366506   -0.374207   0.0018618
         454   -0.362688   -0.374182  0.00185787
         455   -0.342173   -0.374112  0.00185512
         456   -0.336255   -0.374028  0.00185291
         457   -0.314676   -0.373899   0.0018534
         458   -0.328822     -0.3738  0.00185197
         459   -0.324663   -0.373693  0.00185102
         460   -0.349538   -0.373641  0.00184774
         461   -0.356283   -0.373603  0.00184412
         462   -0.357243   -0.373568  0.00184047
         463   -0.367944   -0.373555  0.00183653
         464   -0.353138   -0.373511   0.0018331
         465   -0.358416   -0.373479  0.00182945
         466    -0.34578    -0.37342  0.00182649
         467   -0.380833   -0.373435  0.00182264
         468   -0.391732   -0.373474  0.00181917
         469    -0.40613   -0.373544  0.00181662
         470   -0.397659   -0.373595  0.00181348
         471   -0.374931   -0.373598  0.00180963
         472   -0.365761   -0.373582  0.00180587
         473   -0.353809    -0.37354  0.00180254
         474   -0.324345   -0.373436  0.00180172
         475   -0.303261   -0.373288  0.00180398
         476   -0.341349   -0.373221  0.00180143
         477   -0.376691   -0.373229  0.00179767
         478   -0.371816   -0.373226  0.00179391
         479   -0.355459   -0.373188  0.00179055
         480   -0.361867   -0.373165  0.00178698
         481   -0.386703   -0.373193  0.00178348
         482   -0.391564   -0.373231  0.00178019
         483    -0.40318   -0.373293  0.00177758
         484   -0.391988   -0.373332  0.00177433
         485   -0.381694   -0.373349  0.00177076
         486   -0.397191   -0.373398  0.00176779
         487   -0.389451   -0.373431  0.00176447
         488     -0.4015   -0.373489  0.00176179
         489    -0.38801   -0.373518  0.00175844
         490   -0.390486   -0.373553  0.00175519
         491   -0.363809   -0.373533  0.00175173
         492   -0.388666   -0.373564  0.00174844
         493    -0.39921   -0.373616  0.00174567
         494   -0.375389   -0.373619  0.00174214
         495   -0.389185   -0.373651   0.0017389
         496   -0.357461   -0.373618   0.0017357
         497   -0.300644   -0.373471  0.00173841
         498   -0.280796   -0.373285  0.00174485
         499   -0.309916   -0.373158  0.00174597
         500   -0.361224   -0.373134  0.00174264
