#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         219  0.00090304    0.098114  0.00846315
         220  0.00018624   0.0978374  0.00842921
         221           0   0.0973947  0.00840268
         222  0.00462016    0.101118  0.00915276
         223  0.00067584    0.101271  0.00911299
         224    0.000304     0.10109   0.0090741
         225  0.00459776    0.104728  0.00973563
         226   6.336e-05    0.104321  0.00970107
         227  0.00170496    0.105363  0.00971419
         228   6.336e-05    0.104957  0.00968009
         229  0.00047104     0.10491  0.00963793
         230  0.00062656    0.104998  0.00959644
         231  0.00161984    0.105946   0.0096016
         232  0.00147456    0.106761   0.0095947
         233  0.00041664     0.10666  0.00955405
         234  0.00012544    0.106312  0.00951957
         235  0.00041664    0.106214  0.00947957
         236  0.00052416    0.106208   0.0094394
         237  0.00098496    0.106591  0.00940734
         238  0.00012544    0.106249  0.00937405
         239  0.00047104    0.106198  0.00933496
         240  0.00129536    0.106835  0.00931777
         241   6.336e-05    0.106444   0.0092873
         242-1.15143e-15    0.106005  0.00925933
         243  0.00052416       0.106  0.00922123
         244-1.15143e-15    0.105565  0.00919366
         245  0.00044224    0.105496   0.0091564
         246  0.00154816    0.106325  0.00915671
         247  0.00024576    0.106094  0.00912256
         248  0.00012544    0.105767  0.00909162
         249           0    0.105342  0.00906503
         250  0.00012544    0.105021  0.00903445
         251   6.336e-05    0.104654  0.00900594
         252  0.00211456    0.105916  0.00905832
         253  0.00018624    0.105645  0.00902659
         254    0.003264    0.107799  0.00924451
         255           0    0.107376  0.00921792
         256           0    0.106957  0.00919145
         257  0.00075456    0.107128  0.00915728
         258  0.00041664    0.107036  0.00912225
         259  0.00152256    0.107798  0.00911884
         260  0.00167424    0.108672  0.00912548
         261  0.00149184    0.109398  0.00911942
         262  0.00067584    0.109497  0.00908514
         263    0.000576    0.109518  0.00905062
         264           0    0.109104  0.00902584
         265           0    0.108692  0.00900117
         266  0.00018624    0.108423  0.00897134
         267      0.0016    0.109216  0.00897266
         268  0.00147456    0.109909   0.0089659
         269  0.00109824    0.110316  0.00894184
         270           0    0.109908  0.00891805
         271    0.000944    0.110199   0.0088899
         272  0.00012544    0.109886  0.00886272
         273           0    0.109484  0.00883939
         274  0.00067584    0.109577  0.00880763
         275           0    0.109179  0.00878461
         276  0.00098496    0.109497  0.00875854
         277   6.336e-05    0.109147  0.00873389
         278    0.000304    0.108974  0.00870421
         279    0.000304    0.108801  0.00867472
         280  0.00018624    0.108545   0.0086475
         281  0.00047104    0.108494  0.00861688
         282           0     0.10811  0.00859491
         283           0    0.107728  0.00857302
         284           0    0.107348  0.00855122
         285  0.00143616    0.107979  0.00854448
         286  0.00012544     0.10769  0.00851952
         287  0.00012544    0.107402   0.0084947
         288   6.336e-05    0.107073  0.00847157
         289           0    0.106702  0.00845035
         290           0    0.106334  0.00842922
         291      0.0012    0.106794  0.00841276
