#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         246     84.3888     82.3854     1.86981
         247      99.536     82.4548     1.86353
         248      99.768     82.5246     1.85732
         249         100     82.5948     1.85119
         250     99.8432     82.6638     1.84507
         251     99.9216     82.7325       1.839
         252     91.6064     82.7678     1.83204
         253     99.5488     82.8341     1.82599
         254      83.168     82.8354     1.81881
         255         100     82.9027     1.81292
         256         100     82.9695     1.80707
         257      56.856     82.8679     1.80289
         258     13.3536     82.5984     1.81592
         259      57.752     82.5025     1.81144
         260     73.0544     82.4662     1.80484
         261     79.3456     82.4542     1.79797
         262      95.048     82.5023     1.79175
         263     97.2848     82.5585     1.78581
         264         100     82.6246     1.78027
         265         100     82.6901     1.77476
         266     99.7648     82.7543     1.76925
         267     72.9856     82.7177       1.763
         268     87.8576     82.7369     1.75653
         269     91.7936     82.7706     1.75032
         270         100     82.8344       1.745
         271     97.2368     82.8875     1.73937
         272      99.768     82.9496     1.73408
         273         100     83.0121     1.72885
         274     96.6496     83.0618     1.72326
         275         100     83.1234     1.71809
         276     94.7616     83.1656     1.71239
         277     99.9216     83.2261     1.70727
         278     99.2384     83.2837      1.7021
         279     98.9472     83.3398     1.69693
         280     99.4704     83.3974     1.69185
         281      98.784     83.4522     1.68671
         282         100     83.5109     1.68175
         283         100     83.5691     1.67682
         284         100      83.627     1.67191
         285     92.8864     83.6595     1.66636
         286      99.768     83.7158     1.66148
         287      99.696     83.7715     1.65663
         288     99.9216     83.8276     1.65182
         289         100     83.8835     1.64706
         290         100     83.9391     1.64231
         291     94.4784     83.9753     1.63707
         292         100     84.0302     1.63238
         293         100     84.0847     1.62772
         294     98.9408     84.1352     1.62297
         295     99.6896     84.1879     1.61832
         296     98.8592     84.2375     1.61362
         297         100     84.2906     1.60905
         298     57.3568     84.2002     1.60619
         299      4.6176      83.934     1.62272
         300      3.2528     83.6651     1.63945
         301       0.808     83.3898     1.65695
         302     32.1088       83.22     1.66014
         303     99.3104     83.2731     1.65551
         304     99.4544     83.3264     1.65092
         305         100      83.381     1.64641
         306     55.8336      83.291     1.64349
         307      1.4512     83.0244     1.65962
         308     81.6912     83.0201     1.65424
         309     99.3072     83.0728     1.64972
         310         100     83.1274      1.6453
         311      99.232     83.1792     1.64083
         312         100     83.2331     1.63645
         313     99.9216     83.2864     1.63209
         314     93.4576     83.3188     1.62722
         315     91.2384      83.344     1.62225
         316     98.4176     83.3917     1.61781
         317     22.7984     83.2005     1.62396
         318     76.6736       83.18     1.61899
         319     93.7424     83.2131     1.61425
         320     95.2112     83.2506     1.60964
         321         100     83.3028     1.60547
         322     99.3856     83.3527     1.60126
         323         100     83.4043     1.59713
         324      91.008     83.4277     1.59238
         325         100     83.4787     1.58829
         326         100     83.5294     1.58423
         327     98.8624     83.5763     1.58008
         328         100     83.6264     1.57605
         329     46.2496     83.5127     1.57535
         330     96.6992     83.5527     1.57109
         331         100     83.6024     1.56713
         332     99.4576     83.6502     1.56313
         333     99.9216      83.699      1.5592
         334     99.6928     83.7469     1.55527
         335     55.9952     83.6641     1.55283
         336     22.4928      83.482     1.55885
         337     91.4464     83.5056      1.5544
         338         100     83.5544     1.55057
         339     96.0992     83.5914     1.54643
         340     98.2368     83.6345     1.54248
         341      99.768     83.6818     1.53869
         342     99.9216     83.7293     1.53492
         343         100     83.7768     1.53118
         344     95.2464     83.8101     1.52709
         345         100      83.857     1.52338
         346     99.6144     83.9026     1.51966
         347     99.5328     83.9476     1.51595
         348      99.768     83.9931     1.51228
         349     99.9216     84.0387     1.50863
         350      71.864     84.0039     1.50472
         351      7.2208     83.7852     1.51625
         352       9.096      83.573     1.52672
         353     32.4512     83.4282     1.52925
         354      19.824     83.2485     1.53545
         355      91.624     83.2721      1.5313
         356     50.4416     83.1799     1.52978
         357     99.6928     83.2261     1.52619
         358     99.4544     83.2714      1.5226
         359     99.8432     83.3176     1.51906
         360     72.7744     83.2883     1.51512
         361         100     83.3346     1.51163
         362         100     83.3806     1.50816
         363     95.2928     83.4135     1.50436
         364         100      83.459     1.50091
         365     99.9216     83.5041     1.49748
         366         100     83.5492     1.49407
         367     99.0032     83.5913     1.49059
         368     99.2416     83.6338     1.48715
         369     97.3776     83.6711     1.48358
         370     99.8464     83.7148     1.48022
         371     99.8432     83.7583     1.47686
         372         100     83.8019     1.47354
         373     46.8064     83.7028     1.47292
         374       2.392     83.4853     1.48494
         375      2.9136     83.2705     1.49645
         376       3.792     83.0591     1.50732
         377      5.9648     82.8546     1.51713
         378      2.3312     82.6416       1.528
         379       6.496     82.4407     1.53712
         380     12.0272     82.2554      1.5442
         381      7.1008     82.0581      1.5527
         382     31.7232     81.9264     1.55422
         383     98.8816     81.9706     1.55079
         384     99.3824      82.016     1.54741
         385     99.8432     82.0623     1.54409
         386         100     82.1087     1.54078
         387     98.4096     82.1509     1.53738
         388     96.1584      82.187     1.53384
         389      99.768     82.2322     1.53056
         390     93.0176     82.2598     1.52689
         391         100     82.3052     1.52366
         392         100     82.3503     1.52044
         393     67.5424     82.3127     1.51704
         394      30.264     82.1805     1.51893
         395     88.1184     82.1956     1.51516
         396      97.544     82.2343     1.51183
         397     44.3264     82.1389     1.51103
         398      8.8176     81.9546     1.51842
         399     52.8144     81.8816     1.51637
         400     66.3936     81.8429     1.51307
         401     99.6896     81.8874     1.50996
         402         100     81.9324     1.50687
         403     99.8464     81.9769     1.50379
         404         100     82.0215     1.50073
         405      98.944     82.0633      1.4976
         406         100     82.1075     1.49457
         407         100     82.1514     1.49154
         408         100     82.1952     1.48853
         409         100     82.2387     1.48552
         410     99.9216     82.2818     1.48253
         411         100     82.3249     1.47955
         412     99.9216     82.3677     1.47657
         413      55.648      82.303     1.47441
         414     10.4736     82.1295     1.48102
         415     32.1072     82.0089     1.48235
         416     17.4976     81.8538     1.48688
         417      6.3936     81.6729     1.49428
         418     47.7792     81.5918     1.49291
         419         100     81.6357     1.48999
         420         100     81.6795     1.48708
         421      90.344        81.7     1.48369
         422         100     81.7434     1.48081
         423     93.5312     81.7713     1.47757
         424     96.8384     81.8068     1.47452
         425         100     81.8496     1.47167
         426     89.3664     81.8673     1.46832
         427     13.1488     81.7063     1.47367
         428      8.3408     81.5349     1.48017
         429      25.216     81.4036     1.48253
         430     39.2912     81.3057     1.48231
         431     98.7776     81.3462     1.47942
         432     78.3904     81.3394     1.47602
         433     99.8432     81.3821     1.47323
         434         100      81.425     1.47046
         435     99.9216     81.4675     1.46769
         436     98.1264     81.5058     1.46482
         437     98.7216     81.5451       1.462
         438         100     81.5873     1.45927
         439         100     81.6292     1.45655
         440      53.688     81.5657     1.45462
         441      55.568     81.5068     1.45252
         442         100     81.5486     1.44983
         443     85.7888     81.5582     1.44659
         444     99.1504     81.5978     1.44387
         445     76.6608     81.5867     1.44067
         446     98.1232     81.6238     1.43792
         447     99.9216     81.6647     1.43529
         448      91.768     81.6873     1.43226
         449     85.1104     81.6949     1.42909
         450     95.9888     81.7267     1.42627
         451     99.9216      81.767     1.42367
         452         100     81.8073      1.4211
         453         100     81.8475     1.41853
         454     99.8464     81.8872     1.41596
         455     65.1648     81.8504     1.41332
         456      94.248     81.8776     1.41048
         457     99.9216     81.9171     1.40795
         458     99.9216     81.9564     1.40542
         459      99.608     81.9948     1.40289
         460     89.8832      82.012     1.39994
         461     97.5056     82.0456     1.39731
         462         100     82.0845     1.39482
         463      98.784     82.1205     1.39228
         464     99.6928     82.1584     1.38979
         465     64.7424     82.1209     1.38731
         466     66.6928     82.0878     1.38473
         467         100     82.1262     1.38229
         468     99.6896     82.1637     1.37985
         469     93.4624     82.1878     1.37712
         470      87.592     82.1993     1.37423
         471     94.6368     82.2257     1.37157
         472     37.6624     82.1313     1.37191
         473       2.184     81.9623     1.37938
         474      3.1168     81.7959     1.38647
         475      1.5536      81.627      1.3938
         476     20.1824     81.4979     1.39684
         477     17.8304     81.3644     1.40027
         478     82.3632     81.3665     1.39734
         479     98.6448     81.4026     1.39489
         480         100     81.4414     1.39252
         481     99.8464     81.4796     1.39015
         482         100      81.518      1.3878
         483         100     81.5563     1.38546
         484     99.9216     81.5943     1.38311
         485     99.8432     81.6319     1.38077
         486      88.248     81.6455       1.378
         487      99.464     81.6821     1.37565
         488     54.6368     81.6267     1.37395
         489     23.6944     81.5082     1.37624
         490     15.7504      81.374     1.37996
         491       10.12     81.2289     1.38476
         492     12.6192     81.0894     1.38895
         493     74.8368     81.0767     1.38619
         494     99.9216     81.1149     1.38391
         495         100      81.153     1.38164
         496     99.6112     81.1902     1.37935
         497      99.768     81.2276     1.37708
         498         100     81.2653     1.37483
         499         100     81.3029     1.37259
         500         100     81.3403     1.37035
         501     99.8432     81.3772     1.36812
         502         100     81.4143     1.36589
         503      99.768     81.4508     1.36367
         504     99.9216     81.4874     1.36145
         505     43.7344     81.4127     1.36081
         506     35.4368     81.3218     1.36115
         507     25.0176     81.2108     1.36299
         508     38.9056     81.1275     1.36285
         509     94.7488     81.1542     1.36043
         510         100     81.1912     1.35827
         511      98.192     81.2245     1.35601
         512     99.7648     81.2607     1.35385
         513     99.9216      81.297      1.3517
         514     98.5584     81.3306     1.34949
         515         100     81.3669     1.34735
         516     42.5744     81.2917     1.34684
         517       16.68     81.1667     1.35002
         518     83.9136      81.172     1.34742
         519     98.2528     81.2049     1.34523
         520     99.9216     81.2409     1.34312
         521         100     81.2769     1.34103
         522         100     81.3128     1.33894
         523     89.2496      81.328     1.33646
         524     84.4832      81.334     1.33393
         525         100     81.3696     1.33186
         526      97.944     81.4011      1.3297
         527         100     81.4364     1.32765
         528     97.6592     81.4671     1.32549
         529     98.0608     81.4985     1.32335
         530     99.6176     81.5326      1.3213
         531     99.9216     81.5673     1.31926
         532         100     81.6019     1.31724
         533     70.1008     81.5803     1.31494
         534      99.136     81.6132     1.31289
         535     99.8464     81.6473     1.31088
         536     99.4576     81.6805     1.30885
         537     99.9216     81.7145     1.30686
         538         100     81.7485     1.30487
         539     99.6896     81.7818     1.30287
         540         100     81.8155      1.3009
         541         100     81.8491     1.29893
         542         100     81.8826     1.29696
         543     99.7648     81.9155     1.29499
         544     96.0192     81.9415     1.29287
         545     83.9792     81.9452      1.2905
         546     96.2688     81.9714     1.28841
         547      97.872     82.0005     1.28638
         548     99.9216     82.0332     1.28445
         549     82.2304     82.0336     1.28211
         550     99.2384     82.0649     1.28016
         551      98.976     82.0955      1.2782
         552     99.7648     82.1276     1.27629
         553     99.8432     82.1596     1.27438
         554         100     82.1918     1.27249
         555     99.6864     82.2233     1.27059
         556     99.3824     82.2542     1.26868
         557      85.496       82.26     1.26641
         558     99.8432     82.2915     1.26453
         559         100     82.3232     1.26267
         560         100     82.3548     1.26081
         561      99.232     82.3848     1.25892
         562     66.8912     82.3573     1.25698
         563      3.7472     82.2176     1.26248
         564     32.7376     82.1299     1.26329
         565       27.36      82.033     1.26476
         566      64.344     82.0017     1.26292
         567     97.4912      82.029     1.26098
         568     98.9248     82.0588     1.25911
         569     93.0128      82.078     1.25705
         570     97.2592     82.1047     1.25513
         571     99.9216     82.1359     1.25332
         572         100     82.1671     1.25151
         573     33.8608     82.0828     1.25217
         574      4.1264      81.947     1.25733
         575     15.8528      81.832     1.26038
         576     91.6752     81.8491     1.25831
         577      96.216      81.874     1.25638
         578         100     81.9054      1.2546
         579     96.1216     81.9299     1.25267
         580         100     81.9611      1.2509
         581     99.8432     81.9919     1.24912
         582         100     82.0228     1.24736
         583     95.3136     82.0456     1.24543
         584     98.5456     82.0739     1.24362
         585     99.8432     82.1042     1.24186
         586     95.8416     82.1277     1.23996
         587         100     82.1581     1.23822
         588          99     82.1868     1.23645
         589         100      82.217     1.23472
         590         100     82.2472     1.23299
         591     96.4608     82.2712     1.23114
         592         100     82.3012     1.22943
         593     66.0864     82.2738     1.22766
         594      4.8288     82.1434      1.2325
         595      35.504      82.065     1.23291
         596     65.1968     82.0367     1.23117
         597     99.9216     82.0667     1.22947
         598     99.8432     82.0964     1.22778
         599     99.9216     82.1262     1.22609
         600     99.4704     82.1551     1.22438
         601         100     82.1848     1.22271
         602     99.3952     82.2134     1.22101
         603         100     82.2429     1.21934
         604      94.584     82.2633     1.21749
         605         100     82.2926     1.21583
         606         100     82.3218     1.21418
         607     99.8432     82.3507     1.21252
         608         100     82.3797     1.21087
         609     99.9216     82.4085     1.20923
         610         100     82.4374     1.20759
         611     84.3312     82.4405     1.20562
         612      96.952     82.4642     1.20388
         613     99.6864     82.4923     1.20225
         614     97.5056     82.5167     1.20054
         615     99.9216      82.545     1.19892
         616     99.6896     82.5729     1.19729
         617         100     82.6011     1.19569
         618     99.6112     82.6286     1.19407
         619         100     82.6567     1.19247
         620     99.6144     82.6841     1.19086
         621      98.656     82.7098     1.18922
         622         100     82.7376     1.18763
         623     99.9216     82.7652     1.18605
         624     97.9696     82.7895      1.1844
         625     95.9264     82.8105     1.18269
         626     99.9216     82.8379     1.18111
         627     99.6896     82.8647     1.17954
         628     99.2544     82.8908     1.17795
