#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         276      0.9712    0.371988   0.0494976
         277      0.9996    0.374254   0.0493708
         278       0.996    0.376491   0.0492438
         279      0.9944    0.378705   0.0491171
         280      0.9972    0.380914   0.0489913
         281      0.9936    0.383095   0.0488654
         282           1    0.385282   0.0487411
         283           1    0.387454   0.0486173
         284           1    0.389611   0.0484939
         285      0.9616    0.391618   0.0483652
         286      0.9988    0.393741   0.0482427
         287      0.9984    0.395848   0.0481206
         288      0.9996    0.397944   0.0479992
         289           1    0.400028   0.0478783
         290           1    0.402097   0.0477578
         291        0.97    0.404048   0.0476336
         292           1    0.406089   0.0475141
         293           1    0.408116   0.0473952
         294      0.9944     0.41011   0.0472759
         295      0.9984    0.412104   0.0471577
         296       0.994     0.41407   0.0470394
         297           1    0.416043   0.0469223
         298       0.724    0.417077   0.0467762
         299     -0.0736    0.415435   0.0466486
         300       0.078    0.414311   0.0465066
         301      -0.042    0.412795   0.0463768
         302      0.4944    0.413065   0.0462241
         303      0.9964     0.41499   0.0461116
         304      0.9972    0.416905   0.0459996
         305           1    0.418817   0.0458885
         306      0.6952     0.41972   0.0457475
         307      0.0204     0.41842   0.0456169
         308      0.8876    0.419943   0.0454943
         309      0.9964    0.421808   0.0453853
         310           1    0.423674   0.0452772
         311       0.996    0.425514    0.045169
         312           1    0.427355   0.0450617
         313      0.9996    0.429183   0.0449548
         314      0.9628    0.430883   0.0448438
         315       0.952    0.432537   0.0447319
         316      0.9916    0.434306   0.0446253
         317      0.4316    0.434298   0.0444845
         318      0.8596    0.435635   0.0443648
         319      0.9652    0.437295   0.0442567
         320       0.974    0.438973   0.0441502
         321           1     0.44072   0.0440472
         322      0.9968    0.442447   0.0439443
         323           1    0.444173   0.0438421
         324      0.9472    0.445726   0.0437343
         325           1    0.447431    0.043633
         326           1    0.449126    0.043532
         327       0.994    0.450793   0.0434308
         328           1    0.452467   0.0433306
         329      0.6096    0.452945   0.0432016
         330       0.982    0.454548   0.0431004
         331           1    0.456196   0.0430017
         332      0.9972    0.457825    0.042903
         333      0.9996    0.459452    0.042805
         334      0.9984    0.461066   0.0427072
         335       0.682    0.461725   0.0425849
         336     -0.2592     0.45958   0.0425121
